"employee_name","position","store_name","total_sales"
"Alyssa Smith","Sales Associate","BrewMasters Austin","20729885.76"
"Amanda Adams","Sales Associate","BrewMasters Denver","38151727.86"
"Amanda Dudley","Store Manager","BrewMasters Portland","17043992.57"
"Brandon Rodriguez","Store Manager","BrewMasters New York","17713713.64"
"Bridget Pacheco","Brewing Expert","BrewMasters Seattle","6920373.59"
"Cassandra Roman","Brewing Expert","BrewMasters Seattle","7017282.16"
"Chelsea Jackson","Brewing Expert","BrewMasters Portland","5639786.99"
"Christopher Davis","Brewing Expert","BrewMasters Seattle","7082203.90"
"Craig Ramirez","Store Manager","BrewMasters Portland","16944685.45"
"Danielle Hawkins","Store Manager","BrewMasters San Francisco","22172973.21"
"Danielle Johnson","Store Manager","BrewMasters Seattle","21141349.58"
"Danielle Lynch","Sales Associate","BrewMasters Austin","20538892.32"
"Danielle Rodriguez","Brewing Expert","BrewMasters Denver","6303409.03"
"Debra Gardner","Brewing Expert","BrewMasters Seattle","6914667.96"
"Eric Bernard","Sales Associate","BrewMasters Seattle","42118891.24"
"Eric Farmer","Brewing Expert","BrewMasters Austin","3463179.97"
"Gabrielle Cameron","Sales Associate","BrewMasters San Francisco","43805245.99"
"Janet Williams","Brewing Expert","BrewMasters Portland","5785350.88"
"Jeffrey Bright","Brewing Expert","BrewMasters New York","5869105.34"
"Jennifer Maldonado","Store Manager","BrewMasters Denver","19234661.45"
"Jill Rhodes","Brewing Expert","BrewMasters Seattle","7048237.61"
"Jose Richards","Store Manager","BrewMasters New York","18098333.48"
"Joseph Clark","Brewing Expert","BrewMasters San Francisco","7295225.88"
"Joseph Wright","Sales Associate","BrewMasters San Francisco","43526697.76"
"Joseph Zuniga","Brewing Expert","BrewMasters Portland","5563906.31"
"Joshua Walker","Sales Associate","BrewMasters Seattle","42338505.78"
"Keith Miller","Sales Associate","BrewMasters Portland","34324388.95"
"Kimberly Perez","Brewing Expert","BrewMasters San Francisco","7015317.04"
"Laura Henderson","Sales Associate","BrewMasters New York","36177062.21"
"Linda Wolfe","Brewing Expert","BrewMasters Seattle","6877926.72"
"Maria Montgomery","Brewing Expert","BrewMasters Portland","5723135.76"
"Michael Wood","Store Manager","BrewMasters Portland","17057422.66"
"Monica Evans","Store Manager","BrewMasters Austin","10269624.94"
"NaN NaN","No Sales Associate","BrewMasters Online","355262618.29"
"Nancy Edwards","Sales Associate","BrewMasters San Francisco","43239980.99"
"Nicholas Arnold","Sales Associate","BrewMasters Portland","34354351.33"
"Patrick Ferrell","Sales Associate","BrewMasters New York","35795558.42"
"Rachael Ross","Sales Associate","BrewMasters New York","36178282.16"
"Randall Rocha","Store Manager","BrewMasters San Francisco","21932784.52"
"Robert Johnson","Store Manager","BrewMasters Seattle","20907615.12"
"Stephanie Liu","Store Manager","BrewMasters Denver","18873168.30"
"Tasha Valencia","Sales Associate","BrewMasters New York","35906464.41"
"Vincent White","Sales Associate","BrewMasters Denver","38263947.86"
"William Johnson","Brewing Expert","BrewMasters Seattle","7042507.80"
