"employee_name","position","store_name","total_sales"
"Alyssa Smith","Sales Associate","BrewMasters Austin","3617162.01"
"Amanda Adams","Sales Associate","BrewMasters Denver","6646287.37"
"Amanda Dudley","Store Manager","BrewMasters Portland","2892765.24"
"Brandon Rodriguez","Store Manager","BrewMasters New York","3168032.07"
"Bridget Pacheco","Brewing Expert","BrewMasters Seattle","1210610.56"
"Cassandra Roman","Brewing Expert","BrewMasters Seattle","1150615.95"
"Chelsea Jackson","Brewing Expert","BrewMasters Portland","1005077.59"
"Christopher Davis","Brewing Expert","BrewMasters Seattle","1173088.99"
"Craig Ramirez","Store Manager","BrewMasters Portland","2903807.29"
"Danielle Hawkins","Store Manager","BrewMasters San Francisco","3941694.50"
"Danielle Johnson","Store Manager","BrewMasters Seattle","3550767.28"
"Danielle Lynch","Sales Associate","BrewMasters Austin","3544376.73"
"Danielle Rodriguez","Brewing Expert","BrewMasters Denver","1081139.01"
"Debra Gardner","Brewing Expert","BrewMasters Seattle","1161359.73"
"Eric Bernard","Sales Associate","BrewMasters Seattle","7334641.84"
"Eric Farmer","Brewing Expert","BrewMasters Austin","619304.19"
"Gabrielle Cameron","Sales Associate","BrewMasters San Francisco","7863641.51"
"Janet Williams","Brewing Expert","BrewMasters Portland","945396.00"
"Jeffrey Bright","Brewing Expert","BrewMasters New York","1063976.22"
"Jennifer Maldonado","Store Manager","BrewMasters Denver","3185196.19"
"Jill Rhodes","Brewing Expert","BrewMasters Seattle","1284355.53"
"Jose Richards","Store Manager","BrewMasters New York","3229308.55"
"Joseph Clark","Brewing Expert","BrewMasters San Francisco","1281624.67"
"Joseph Wright","Sales Associate","BrewMasters San Francisco","7700919.59"
"Joseph Zuniga","Brewing Expert","BrewMasters Portland","1002644.74"
"Joshua Walker","Sales Associate","BrewMasters Seattle","7335793.87"
"Keith Miller","Sales Associate","BrewMasters Portland","5988590.76"
"Kimberly Perez","Brewing Expert","BrewMasters San Francisco","1226266.14"
"Laura Henderson","Sales Associate","BrewMasters New York","6408556.26"
"Linda Wolfe","Brewing Expert","BrewMasters Seattle","1161747.49"
"Maria Montgomery","Brewing Expert","BrewMasters Portland","1089534.61"
"Michael Wood","Store Manager","BrewMasters Portland","2994531.83"
"Monica Evans","Store Manager","BrewMasters Austin","1847341.70"
"NaN NaN","No Sales Associate","BrewMasters Online","61854216.48"
"Nancy Edwards","Sales Associate","BrewMasters San Francisco","7630108.86"
"Nicholas Arnold","Sales Associate","BrewMasters Portland","5942789.32"
"Patrick Ferrell","Sales Associate","BrewMasters New York","6314564.93"
"Rachael Ross","Sales Associate","BrewMasters New York","6546207.71"
"Randall Rocha","Store Manager","BrewMasters San Francisco","3805821.45"
"Robert Johnson","Store Manager","BrewMasters Seattle","3597417.46"
"Stephanie Liu","Store Manager","BrewMasters Denver","3364684.11"
"Tasha Valencia","Sales Associate","BrewMasters New York","6274279.93"
"Vincent White","Sales Associate","BrewMasters Denver","6656149.56"
"William Johnson","Brewing Expert","BrewMasters Seattle","1222790.73"
